h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
47,1,628.1497746,920.1767,991.0069947,1583.923345,35.23342445,31741.82383,25000,63818.15355
47,2,647.5708749,948.6851,971.5858944,1583.923345,35.23342445,31741.82383,25000,45368.86557
47,3,404.3478438,404.5989,1055.484952,1428.066318,31.7664784,28618.44901,25000,6259.677917
48,1,548.3881501,1352.7025,1070.768619,1583.923345,35.23342445,31741.82383,25000,70559.97738
48,2,645.5879401,1146.8577,973.5688292,1583.923345,35.23342445,31741.82383,25000,52110.6894
48,3,430.1058349,430.1715,1037.897581,1436.059142,31.94427397,28778.6252,25000,10038.30312
49,1,670.8061197,842.0359,933.2685874,1569.169474,34.90523344,31446.15625,25000,77006.13363
49,2,519.7329369,1624.991,1099.423832,1583.923345,35.23342445,31741.82383,25000,58852.51323
49,3,0,0,818.5615521,800.749363,17.81218913,16047.01723,25000,1085.320352
50,1,115.4808,115.4808,774.858196,870.9649043,19.37409172,17454.13668,25000,69460.27031
50,2,0,1610.7615,1178.131442,1152.494885,25.63655721,23095.99749,25000,56948.51072
50,3,75.53891698,75.5393,872.3147569,927.2280424,20.62563147,18581.64997,19666.97032,0
51,1,26.22719239,26.2273,801.7347978,809.9452442,18.01674599,16231.30269,25000,60691.57301
51,2,471.3179332,1667.3825,1147.838836,1583.923345,35.23342445,31741.82383,25000,63690.33455
51,3,131.1084124,131.109,844.629546,954.5055551,21.23240337,19128.29132,19128.29132,0
52,1,320.7064,320.7064,873.4314059,1168.152945,25.98486136,23409.78501,25000,59101.35801
52,2,0,246.7743,580.874513,568.234478,12.64003502,11387.41894,25000,50077.75349
52,3,426.6405259,426.707,1017.689137,1412.900539,31.42912474,28314.52679,25000,3314.526794
53,1,0,0,751.0523799,734.7092143,16.34316565,14723.57265,25000,48824.93067
53,2,0,448.5321,663.4120568,648.9759756,14.43608119,13005.47855,25000,38083.23204
53,3,409.494903,409.5527,1029.993056,1408.164191,31.32376754,28219.61039,25000,6534.137187
54,1,376.3184233,552.3171,805.5083031,1156.109758,25.71696791,23168.43956,25000,46993.37023
54,2,488.7622177,1009.168,830.1901112,1290.251459,28.70086956,25856.63925,25000,38939.87128
54,3,468.4179629,490.7582,1150.738806,1583.923345,35.23342445,31741.82383,25000,13275.96102
55,1,0,509.2021,329.5937825,322.4217052,7.172077378,6461.330971,25000,28454.7012
55,2,0,55.7723,618.0033965,604.5554238,13.44797267,12115.29069,25000,26055.16198
55,3,437.3689486,599.5115,1181.787821,1583.923345,35.23342445,31741.82383,25000,20017.78485
56,1,0,676.5159,286.1096151,279.8837686,6.225846503,5608.870723,25000,9063.571922
56,2,380.1415146,494.6936,907.0849169,1259.215929,28.0105028,25234.68721,25000,26289.84919
56,3,430.9745141,911.5511,1188.182255,1583.923345,35.23342445,31741.82383,25000,26759.60868
57,1,357.9106051,1021.4027,761.1384088,1094.698111,24.35090266,21937.75015,25000,6001.32207
57,2,0,1234.5604,894.070172,874.6148886,19.45528343,17527.28237,25000,18817.13156
57,3,430.9745141,1072.9221,1188.182255,1583.923345,35.23342445,31741.82383,25000,33501.43251
58,1,632.146733,1414.3847,862.7269721,1462.344724,32.52898098,29305.38827,25000,10306.71034
