h,Scenario 1,Scenario 2,Scenario 3
56,0.996908475,0.927068475,0.720224136
57,0.995138983,0.944812203,0.801141695
58,0.997678,0.881368667,0.895534933
59,0.989226441,0.833464,0.92827661
60,0.968328136,0.836728136,0.848140339
61,0.94408,0.811621288,0.623489898
62,0.853932339,0.770713898,0.666590915
63,0.7447188,0.653962533,0.684204
64,0.614772475,0.469843729,0.632985085
65,0.717404746,0.610754034,0.668644276
66,0.729784136,0.587518373,0.653206915
67,0.708104,0.593999729,0.764491797
68,0.809475467,0.628628533,0.742941288
69,0.810369627,0.702659661,0.742360667
70,0.854570441,0.807719051,0.720904678
71,0.789238644,0.826911186,0.629549966
72,0.851159051,0.92166069,0.580453695
73,0.838789695,0.937063051,0.642350644
74,0.738080271,0.94040678,0.462316949
75,0.662572475,0.94624,0.506490508
76,0.714974237,0.839599593,0.528700678
77,0.7245472,0.833764528,0.569974576
78,0.80212339,0.874842441,0.480609492
79,0.859503458,0.613735458,0.506305424
80,0.925298983,0.500814576,0.622938983
81,0.892095729,0.9042712,0.6271308
82,0.980236,0.946789153,0.730594305
83,0.990200678,0.991221379,0.66020678
84,0.958260339,0.999694,0.809584271
85,0.883923119,0.989285424,0.810516881
86,0.793269517,0.955258305,0.862110267
87,0.808209898,0.948546441,0.784428339
88,0.808946169,0.94692339,0.493997288
89,0.728001763,0.92728,0.518891186
90,0.703858712,0.948497627,0.523428333
91,0.676205467,0.846962305,0.613314169
92,0.492979322,0.774783186,0.757524339
93,0.618434441,0.819720271,0.863552949
94,0.72923322,0.825089733,0.802368814
95,0.834053017,0.817707797,0.888319067
96,0.901182133,0.819376678,0.873517153
97,0.785459119,0.925298983,0.688919186
98,0.652137492,0.991541017,0.734159051
99,0.674757424,0.966046102,0.710858576
100,0.735098847,0.48887661,0.856509288
101,0.632102,0.558342,0.866864533
102,0.677933288,0.698706034,0.96848678
103,0.277393288,0.520125085,0.994618305
104,0.240796068,0.763422373,1
105,0.640590621,0.752468881,1
106,0.726089763,0.570020333,0.9826
107,0.89334739,0.655410576,0.996292203
108,0.919490169,0.728617492,0.990849492
109,0.8831304,0.888561627,0.942932881
110,0.820260203,0.957320678,0.972989831
111,0.769223186,0.988352,0.96892
112,0.85331878,0.993027797,0.936668966
113,0.814983593,0.989358644,0.916012203
114,0.7102072,0.983240678,0.977476
115,0.553193559,0.90536469,0.933121356
116,0.677380138,0.815106305,0.983496949
117,0.690474712,0.618463067,0.993532203
118,0.616101153,0.588263729,0.978310508
119,0.711992814,0.814100068,0.967504
120,0.846152407,0.76173722,0.965069831
121,0.748450441,0.807473627,0.968877288
122,0.702303186,0.951877966,0.943945763
123,0.562262712,0.988040678,0.951816949
124,0.447417627,0.653304136,0.989997288
125,0.48627,0.6833436,0.988066
126,0.393722102,0.931010169,0.994882712
127,0.549707797,0.932755254,0.950145085
128,0.576946102,0.948204746,0.919795254
129,0.640578533,0.922272542,0.99139661
130,0.668632542,0.945976,0.99491
131,0.633049898,0.906772068,0.994380339
132,0.767408407,0.946117966,0.996438644
133,0.755075467,0.987877966,0.935391186
134,0.591439593,0.980104407,0.887579932
135,0.559794915,0.936628,0.940324
136,0.596559864,0.908661831,0.859208949
137,0.489524407,0.874931724,0.894819932
138,0.471588667,0.8113096,0.774341424
139,0.580874983,0.810688678,0.738168552
140,0.696500138,0.798712,0.793533559
141,0.881689763,0.782759458,0.736071051
142,0.605471729,0.863577492,0.731760949
143,0.6628852,0.8732116,0.646498712
144,0.559548136,0.815449898,0.704442034
145,0.46182339,0.869835797,0.688627525
146,0.452260678,0.991301017,0.613314169
147,0.417341356,0.969109153,0.532186441
148,0.363576678,0.828015593,0.503004746
149,0.474591667,0.718970533,0.434430333
150,0.534751034,0.658813288,0.539651525
151,0.484588814,0.468887458,0.472681695
152,0.827745627,0.536782712,0.657938305
153,0.623003797,0.318646237,0.691641356
154,0.646628339,0.107572,0.644976133
155,0.774194169,0.341686847,0.578581017
156,0.7103028,0.552484068,0.773556068
157,0.703273684,0.635188746,0.898525831
158,0.634313763,0.778120949,0.843624542
159,0.5908984,0.889150644,0.799074
160,0.48730339,0.919124068,0.754834576
161,0.575958983,0.855527593,0.673201898
162,0.450440678,0.822959864,0.682308203
163,0.525551667,0.832836533,0.683021153
164,0.401485763,0.717599186,0.689430133
165,0.506182034,0.734029424,0.572504068
166,0.372307593,0.878155661,0.603768138
167,0.480331864,0.910870644,0.582398102
168,0.470223667,0.961516,0.757556746
