h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
129,2,168.6960569,215.391,1064.773985,1206.629297,26.84074474,24180.85112,25000,17515.05712
129,3,490.5050933,1191.5839,1176.257733,1630.493477,36.26934911,32675.08929,25000,79556.14952
130,1,400.2246561,664.9041,1266.53817,1630.493477,36.26934911,32675.08929,25000,44259.56914
130,2,320.4691043,366.6778,1296.808221,1582.084799,35.19252709,31704.97936,25000,24220.03648
130,3,478.3767884,1139.874,1188.386038,1630.493477,36.26934911,32675.08929,25000,87231.23881
131,1,322.565455,976.4705,1344.197372,1630.493477,36.26934911,32675.08929,25000,51934.65843
131,2,358.6408807,679.5918,1308.121946,1630.493477,36.26934911,32675.08929,25000,31895.12577
131,3,512.3521485,962.4256,1154.410678,1630.493477,36.26934911,32675.08929,25000,94906.3281
132,1,307.8709639,1139.2781,1358.891863,1630.493477,36.26934911,32675.08929,25000,59609.74772
132,2,328.6695259,1168.9097,1338.093301,1630.493477,36.26934911,32675.08929,25000,39570.21506
132,3,524.2992333,1295.2724,1142.463593,1630.493477,36.26934911,32675.08929,25000,102581.4174
133,1,339.7179271,1042.48,1327.044899,1630.493477,36.26934911,32675.08929,25000,67284.83701
133,2,372.5410754,1307.565,1294.221751,1630.493477,36.26934911,32675.08929,25000,47245.30435
133,3,436.4747384,1582.4255,1230.288088,1630.493477,36.26934911,32675.08929,25000,110256.5067
134,1,136.643972,136.9746,1051.126319,1161.923989,25.84630198,23284.95674,25000,65569.79375
134,2,0,1485.317,1256.044155,1228.71219,27.33196544,24623.39229,25000,46868.69663
134,3,406.6157415,1441.1184,1260.147085,1630.493477,36.26934911,32675.08929,25000,117931.596
135,1,232.2536425,232.8157,1133.671076,1336.201713,29.72300538,26777.48232,25000,67347.27607
135,2,0,1600.9796,1248.544867,1221.376088,27.16877826,24476.37681,25000,46345.07344
135,3,505.3707117,1271.9642,1161.392115,1630.493477,36.26934911,32675.08929,25000,125606.6853
