i,j,h,s,f_mw
1,2,107,2,-12.1190564511
1,2,107,3,-14.6475641375
1,2,108,1,-12.0670602622
1,2,108,2,-11.4509932697
1,2,108,3,-8.7559616490
1,2,109,1,-11.3534599111
1,2,109,2,-12.3101655551
1,2,109,3,-12.0002514504
1,2,110,1,-10.5545928964
1,2,110,2,-12.6879518173
1,2,110,3,-15.4930213019
1,2,111,1,-10.9234216643
1,2,111,2,-12.8479121507
1,2,111,3,-8.1319252921
1,2,112,1,-10.2386931076
1,2,112,2,-15.4802884485
1,2,112,3,-12.6339562629
1,2,113,1,-10.5034566867
1,2,113,2,-13.0370055251
1,2,113,3,-12.2987508728
1,2,114,1,-18.4624074137
1,2,114,2,-13.4118579163
1,2,114,3,-13.1563213428
1,2,115,1,-12.6026009518
1,2,115,2,-11.4518317622
1,2,115,3,-12.2380005121
1,2,116,1,-11.7532661709
1,2,116,2,-10.6376811806
1,2,116,3,-13.3193100852
1,2,117,1,-11.7928578151
1,2,117,2,-12.3027767793
1,2,117,3,-13.3136651046
1,2,118,1,-12.1416648528
1,2,118,2,-15.6934635862
1,2,118,3,-13.0322553679
1,2,119,1,-11.4412517968
1,2,119,2,-10.0203950621
1,2,119,3,-12.5288504384
1,2,120,1,-10.2961137013
1,2,120,2,-10.9352295768
1,2,120,3,-12.7859011385
1,2,121,1,-10.9874464164
1,2,121,2,-10.3762522418
1,2,121,3,-15.5398724251
1,2,122,1,-11.3262486804
1,2,122,2,-13.2105752074
1,2,122,3,-11.9933901296
1,2,123,1,-12.3402789962
1,2,123,2,-13.3394246136
1,2,123,3,-11.7479068781
1,2,124,1,-13.1395411026
1,2,124,2,-11.7999782299
1,2,124,3,-12.3748148926
1,2,125,1,-12.9740615499
1,2,125,2,-10.8728918137
1,2,125,3,-12.0632067472
1,2,126,1,-13.7290858595
1,2,126,2,-14.2926482585
1,2,126,3,-12.6558442560
1,2,127,1,-12.5057368158
1,2,127,2,-11.2348540553
1,2,127,3,-11.2695912015
1,2,128,1,-12.5263927397
1,2,128,2,-11.3316529539
1,2,128,3,-11.7053164632
1,2,129,1,-11.9769832769
1,2,129,2,-10.2803700253
1,2,129,3,-8.5699390638
1,2,130,1,-11.7887900025
1,2,130,2,-9.8305651785
1,2,130,3,-15.5823759654
1,2,131,1,-11.7415979400
1,2,131,2,-10.1552222691
1,2,131,3,-14.3120626417
1,2,132,1,-9.7753727787
1,2,132,2,-12.8988098374
1,2,132,3,-13.5859467986
1,2,133,1,-11.1800205016
1,2,133,2,-15.2425059160
1,2,133,3,-12.1188216490
1,2,134,1,-12.3558696029
1,2,134,2,-13.3106379626
1,2,134,3,-9.4478261666
1,2,135,1,-12.5470029452
1,2,135,2,-10.0303575475
1,2,135,3,-11.8437201716
1,2,136,1,-12.1541305843
1,2,136,2,-9.2367589089
1,2,136,3,-8.9577185960
1,2,137,1,-13.1152005954
1,2,137,2,-11.4883955828
1,2,137,3,-13.7571624018
1,2,138,1,-17.9988171905
1,2,138,2,-10.6746266243
1,2,138,3,-10.9951829267
1,2,139,1,-12.3233721860
1,2,139,2,-10.6830223677
1,2,139,3,-11.2730500309
1,2,140,1,-11.3128241937
1,2,140,2,-10.7781376533
1,2,140,3,-10.8066641840
1,2,141,1,-10.2663213560
1,2,141,2,-15.7717703086
1,2,141,3,-11.1913753855
1,2,142,1,-11.9604459972
1,2,142,2,-11.1311051689
1,2,142,3,-11.2285518468
1,2,143,1,-11.6548189998
1,2,143,2,-10.9194735286
