w,bus,zone,h,s,net_mw
4,4,1,47,1,251.9437884800
4,4,1,47,2,251.6139388800
4,4,1,47,3,172.2936406400
4,4,1,48,1,275.5751484800
4,4,1,48,2,253.6108374400
4,4,1,48,3,216.0084480000
4,4,1,49,1,243.7973910400
4,4,1,49,2,283.1773939200
4,4,1,49,3,156.2430915200
4,4,1,50,1,211.8157884800
4,4,1,50,2,251.4725750400
4,4,1,50,3,249.8861558400
4,4,1,51,1,210.0839702400
4,4,1,51,2,269.9205859200
4,4,1,51,3,256.6480704000
4,4,1,52,1,218.0171497600
4,4,1,52,2,258.1873680000
4,4,1,52,3,237.4612176000
4,4,1,53,1,193.3295785600
4,4,1,53,2,276.7247785600
4,4,1,53,3,218.3844265600
4,4,1,54,1,253.1218224000
4,4,1,54,2,297.1305219200
4,4,1,54,3,180.5558236800
4,4,1,55,1,304.1401491200
4,4,1,55,2,270.3289708800
4,4,1,55,3,191.4280352000
4,4,1,56,1,319.0107120000
4,4,1,56,2,296.6619120000
4,4,1,56,3,230.4717235200
4,4,1,57,1,318.4444745600
4,4,1,57,2,302.3399049600
4,4,1,57,3,256.3653424000
4,4,1,58,1,317.8166125433
4,4,1,58,2,282.0379734400
4,4,1,58,3,286.5711785600
4,4,1,59,1,316.5524611200
4,4,1,59,2,266.7084800000
4,4,1,59,3,297.0485152000
4,4,1,60,1,309.8650035200
4,4,1,60,2,267.7530035200
4,4,1,60,3,271.4049084800
4,4,1,61,1,302.1056000000
4,4,1,61,2,259.7188121600
4,4,1,61,3,199.5167673600
4,4,1,62,1,273.2583484800
4,4,1,62,2,246.6284473600
4,4,1,62,3,213.3090928000
4,4,1,63,1,238.3100160000
4,4,1,63,2,209.2680105600
4,4,1,63,3,218.9452800000
4,4,1,64,1,196.7271920000
4,4,1,64,2,150.3499932800
4,4,1,64,3,202.5552272000
4,4,1,65,1,229.5695187200
4,4,1,65,2,195.4412908800
4,4,1,65,3,213.9661683200
4,4,1,66,1,233.5309235200
4,4,1,66,2,188.0058793600
4,4,1,66,3,209.0262128000
4,4,1,67,1,226.5932800000
4,4,1,67,2,190.0799132800
4,4,1,67,3,244.6373750400
4,4,1,68,1,259.0321494400
4,4,1,68,2,201.1611305600
4,4,1,68,3,237.7412121600
4,4,1,69,1,259.3182806400
4,4,1,69,2,224.8510915200
4,4,1,69,3,237.5554134400
4,4,1,70,1,273.4625411200
4,4,1,70,2,258.4700963200
4,4,1,70,3,230.6894969600
4,4,1,71,1,252.5563660800
4,4,1,71,2,264.6115795200
4,4,1,71,3,201.4559891200
4,4,1,72,1,272.3708963200
4,4,1,72,2,294.9314208000
4,4,1,72,3,185.7451824000
4,4,1,73,1,268.4127024000
4,4,1,73,2,299.8601763200
4,4,1,73,3,205.5522060800
4,4,1,74,1,236.1856867200
4,4,1,74,2,300.9301696000
4,4,1,74,3,147.9414236800
4,4,1,75,1,212.0231920000
4,4,1,75,2,302.7968000000
4,4,1,75,3,162.0769625600
4,4,1,76,1,228.7917558400
4,4,1,76,2,268.6718697600
4,4,1,76,3,169.1842169600
4,4,1,77,1,231.8551040000
4,4,1,77,2,266.8046489600
4,4,1,77,3,182.3918643200
4,4,1,78,1,256.6794848000
4,4,1,78,2,279.9495811200
4,4,1,78,3,153.7950374400
4,4,1,79,1,275.0411065600
4,4,1,79,2,196.3953465600
4,4,1,79,3,162.0177356800
4,4,1,80,1,296.0956745600
4,4,1,80,2,160.2606643200
4,4,1,80,3,199.3404745600
4,4,1,81,1,285.4706332800
4,4,1,81,2,289.3667840000
4,4,1,81,3,200.6818560000
4,4,1,82,1,313.6755200000
4,4,1,82,2,302.9725289600
4,4,1,82,3,233.7901776000
4,4,1,83,1,316.8642169600
4,4,1,83,2,262.4969254048
4,4,1,83,3,211.2661696000
4,4,1,84,1,306.6433084800
4,4,1,84,2,319.9020800000
4,4,1,84,3,259.0669667200
4,4,1,85,1,282.8553980800
4,4,1,85,2,316.5713356800
4,4,1,85,3,259.3654019200
4,4,1,86,1,253.8462454400
4,4,1,86,2,305.6826576000
4,4,1,86,3,275.8752854400
4,4,1,87,1,258.6271673600
4,4,1,87,2,303.5348611200
4,4,1,87,3,251.0170684800
4,4,1,88,1,258.8627740800
4,4,1,88,2,303.0154848000
4,4,1,88,3,158.0791321600
4,4,1,89,1,232.9605641600
4,4,1,89,2,296.7296000000
